line    wl  strength

HI_6563     6562.80     1

HI_4861     4861.325    0.3

HI_4341     4340.463    0.1

HI_4102     4101.735    0.05

OIII_4363   4363.209    0.005

OIII_5007   5006.843    1

OIII_4959   4958.911    0.3

OII_3726    3726.032    0.5

OII_3729    3728.815    0.5

OI_6300     6300.304    0.05

SII_6717    6716.44     0.2

SII_6731    6730.82     0.2

NII_6548    6548.04     0.03

NII_6584    6583.46     0.1

NII_5755    5754.64    0.001

HeI_5876    5875.966263    0.05

HeII_4686   4685.71     0.01

NeIII_3869  3869.07     0.02
